wage,educ,age,dist,momeduc
0.3295,-0.8636,0.1668,-1.5836,0.1858
1.8564,1.45,0.352,1.9256,0.558
2.9892,1.4814,0.8116,0.525,-0.7746
0.7407,-0.0868,-0.1205,1.798,-0.9932
4.8923,2.0096,-0.1515,-2.1057,0.9051
4.3824,2.2316,-0.1884,0.5788,-0.7656
1.7395,-0.0871,0.0068,-1.4941,0.6073
0.8461,1.0001,-0.1703,0.4431,1.9575
1.4072,-0.043,-1.0123,-0.7076,0.3806
1.3461,0.2149,0.6521,1.4527,-0.623
1.378,-0.2331,0.5876,0.4377,0.6737
0.6557,-1.3163,0.7068,-1.9511,-1.0667
0.4506,0.3318,-0.2343,-0.4723,1.3217
2.0676,1.124,-2.2516,-0.5888,0.908
-1.009,-1.9309,0.6121,-0.8051,0.696
0.0935,-1.5072,2.5234,0.1182,-0.4026
1.8731,0.6067,2.2766,0.6087,0.5318
-2.0856,-2.8767,1.3902,-1.3367,-0.5008
1.447,1.2295,-0.968,1.6957,-0.9558
0.4151,0.058,-0.8509,1.6117,0.0874
-0.9922,-1.0082,-1.2684,-0.1589,-0.4424
-1.6524,-2.209,0.7203,-0.2754,-2.7926
-0.7017,-2.5353,-1.1362,-1.6441,-0.6241
2.6379,1.923,-1.151,1.6897,-0.0326
1.3908,1.0173,1.7027,1.4694,-0.6082
-2.0157,-1.8812,-0.5194,-0.7703,0.6213
2.1099,1.3785,-1.0948,-0.2002,0.3808
-0.2303,-0.8564,-0.9067,-0.1113,0.4725
-0.3763,-0.674,0.5749,0.032,0.3716
0.438,-0.8384,0.3671,-1.4005,-0.2792
-2.073,-2.8976,-0.4637,-2.5673,0.5397
-0.9987,-1.8242,1.0662,-0.8946,-0.7244
0.5981,-0.2772,0.0183,-0.2231,-0.5929
2.7897,1.3072,0.4969,0.4083,-0.5032
-0.4721,-0.8311,0.3796,0.0614,0.7702
4.6494,1.6103,1.0025,-1.7134,0.2504
-0.98,-0.8022,0.9613,-0.5625,0.5375
2.8019,3.074,-1.1526,1.2983,0.4521
2.1837,0.5715,1.2811,-0.9054,0.8677
2.3694,1.3373,0.8672,1.3185,0.0245
0.4781,-1.066,0.4846,-0.127,-1.181
3.871,1.7618,0.5508,-0.865,1.7346
1.8028,1.2623,-0.8956,0.8629,-0.4367
-1.9858,-1.3988,-0.5074,-0.028,0.7409
-1.3114,-2.1677,0.1176,0.6642,-2.2256
3.1029,2.3604,-0.6048,0.9613,0.866
-0.355,-0.9614,-0.488,-0.6362,0.533
0.9743,0.5017,0.438,-0.7049,1.034
2.3415,-0.0187,0.9066,-0.8292,-0.38
4.9077,2.9973,0.6961,1.0253,1.1756
2.4994,1.1043,1.6374,0.2214,0.4191
0.5507,-0.4741,-1.4775,-0.0016,0.4247
0.8702,-1.3181,1.8269,-0.8768,-0.5169
-1.4709,-2.2843,-0.6591,-2.4952,0.1659
-2.156,-3.7061,1.4409,-1.6841,-2.2846
-0.5509,-1.816,-0.3955,-0.7519,-0.6263
1.3023,-0.177,-0.255,-0.2322,-0.762
1.5936,0.9903,0.2869,1.5042,-0.6919
-0.0017,-0.0438,1.7476,-1.0325,2.7593
0.7722,0.8963,0.0374,1.3959,-0.7803
3.0818,0.8093,2.1186,-0.2047,0.4954
0.3543,0.0664,-1.2281,1.1795,-0.2515
1.0437,-0.3249,-0.2111,0.3475,-0.5515
-0.0378,-1.691,2.6954,-1.7379,0.5229
1.943,1.1857,-1.4479,-0.8103,0.8153
2.2292,0.8772,-1.1354,0.0698,0.3809
1.6308,0.7564,0.6685,1.3309,0.2787
-0.571,-2.6669,0.1956,-2.1763,-2.3875
0.5533,-0.5582,0.1126,0.6471,0.2068
1.8068,-0.0474,1.0401,-0.4689,-0.2761
1.6105,1.3478,-0.3333,0.6314,1.6461
-0.4264,0.1094,-1.3537,-0.8595,0.9761
1.8573,0.6716,0.69,0.4206,-0.1181
0.9106,-1.0357,-0.2479,0.1314,-2.8757
0.326,-0.6715,-0.7052,1.4788,-3.1414
1.8934,0.6558,0.7678,0.5014,-0.2805
1.866,1.7017,-0.88,1.7572,-1.1954
-1.7662,-2.4194,0.7995,0.8503,-0.8139
0.3911,-1.5724,-0.2078,-1.1733,-1.1961
-0.3984,-0.5755,-1.2496,-0.6161,-0.128
2.6279,0.843,0.1447,0.1425,-0.9494
-1.3131,-2.4367,0.4614,-1.1422,-0.4422
0.3898,0.806,-0.4092,0.7969,2.1726
2.9995,1.0143,1.4627,-0.3438,-0.3963
4.277,2.2863,-0.0026,-0.8527,1.1794
2.438,1.3614,-1.4675,-0.2913,1.5414
0.2624,-0.4563,-0.7439,-0.5053,-1.3051
1.2138,0.0129,0.31,-0.7626,1.0998
-1.139,-1.5416,-1.4062,-0.8325,-0.0534
-0.571,-1.8679,0.783,-1.0056,-1.3845
0.091,-1.2162,1.99,-0.9465,-0.3061
3.4014,1.539,0.455,-0.2213,1.2465
0.4181,-2.0348,0.173,-1.2198,-0.1697
0.1954,-1.2517,1.8357,-1.0841,-1.2432
1.5984,-0.5065,-0.058,-0.9046,-0.6857
1.0795,0.8208,-0.6395,0.7454,1.3996
-0.4044,0.3106,-0.7629,0.4579,-0.3909
0.5232,-1.1453,-0.2818,0.2265,-0.8678
3.7094,1.9056,-0.4291,-0.6197,1.2281
0.9954,-0.17,2.3111,-0.396,0.569
-1.2779,-1.1965,-0.1136,0.6759,-0.7142
-0.435,-1.912,-1.0553,-0.2258,-1.772
1.2001,0.0563,-0.3018,-0.2435,0.0453
-0.4907,-1.5572,-0.9565,-0.7703,-0.8066
1.1573,0.5197,1.6846,1.0272,0.7497
2.9631,1.3242,1.2872,0.2931,0.7225
1.3632,-0.1526,-0.963,-1.1476,0.5251
1.1555,-0.2006,0.7682,-0.9681,-0.5841
2.2728,0.0519,-0.8306,-0.8906,-0.1229
-1.6131,-0.6577,-0.034,0.9259,0.6423
0.7156,0.1222,-0.2072,-0.5169,1.4739
0.6199,1.1074,-0.3947,-0.2469,0.9645
-2.1871,-1.5482,-0.968,-0.8536,1.3024
0.1233,-0.8235,-0.6508,0.0705,0.0938
3.1585,2.4245,-2.3396,0.0581,1.0076
0.9942,-1.491,-0.1586,-1.7961,-0.8638
3.2085,1.6068,0.3887,-0.486,-0.3351
1.1001,0.8399,1.1536,1.5327,1.3202
3.274,1.7073,0.3189,0.1936,1.006
-1.2117,-1.7436,-0.0781,0.7275,-0.5148
1.7888,0.2107,1.1939,-0.1848,0.0397
-1.125,-1.1882,-0.4533,-0.677,0.9991
-0.8007,-1.3114,1.0612,-0.2461,0.6027
0.5836,-0.3888,-0.225,-1.4181,0.7201
-1.9496,-2.7468,-0.4696,-1.9577,-0.3819
1.469,0.1951,0.8288,-0.8014,-0.8249
0.0921,0.3925,0.8054,1.0801,-0.5632
0.462,-0.6888,-1.3297,-0.8389,0.2082
0.0767,-0.6863,-0.1641,-0.9192,0.0439
-0.2333,-0.3287,-0.0733,0.3302,0.0356
-2.4296,-2.1147,0.2881,-0.3171,-1.1372
1.122,-0.4181,-1.6056,-0.2384,-0.7041
2.5872,2.2388,-0.1371,1.3092,0.5714
-0.5686,-1.5457,0.5156,0.4433,-1.481
0.8572,0.8397,-0.5784,-0.0066,0.3148
0.7293,0.4172,2.1994,-0.0613,-0.141
-0.7673,-1.0329,-0.5181,-0.6016,-0.4182
2.671,0.6887,0.8238,-0.2404,-0.4027
1.7497,-0.4257,1.5417,-0.082,-0.7827
3.622,1.1045,-0.1173,0.234,-1.1833
0.2295,-1.167,-2.3326,-2.2158,-0.1787
1.7256,0.2696,1.3889,0.4879,-1.9643
1.9954,1.0713,-0.6113,0.4384,-0.1439
1.8097,0.9061,-0.9552,1.7852,-0.1057
0.8186,-0.9596,0.1197,0.4712,-0.1116
-3.4848,-3.1301,-0.1855,0.3823,-0.8763
4.2563,1.3228,2.5498,0.7717,0.8748
1.0441,1.7859,1.9489,1.5935,2.2527
0.8377,-0.6029,-1.154,-0.9722,0.6736
4.2236,2.1192,0.1132,0.6691,-0.1791
2.5567,1.6095,-1.5973,1.9137,-0.5288
0.7893,0.2569,1.6186,-1.0312,1.5561
-0.2274,-0.9305,1.2026,1.1488,0.0784
0.8898,0.1071,-0.2703,-0.5716,0.7914
2.0705,-0.7761,1.9209,-1.2233,-1.3749
1.4502,0.0305,-1.1331,0.382,-0.0742
1.648,-0.0395,1.2977,-0.3776,-0.0272
1.6086,-1.292,0.6567,-1.3989,-1.6181
1.5218,-0.9574,0.8113,-1.5398,-0.3704
-1.9306,-2.0821,0.2778,-2.144,-0.1454
-1.0271,-0.7555,-0.221,-0.3715,0.5943
3.5149,2.4449,1.2407,0.6557,0.8435
-1.0967,-1.5251,-0.8562,-0.3039,0.5217
3.8699,2.7422,0.786,1.2555,0.6935
1.3452,-1.3809,0.0997,-1.2095,-0.7815
0.9045,-0.7296,0.9886,-0.9222,-1.548
1.5191,0.4394,-1.8911,0.5329,-0.8344
0.4417,-1.0208,-0.323,-0.8967,0.0723
0.4343,-0.1065,0.2487,-1.763,1.4663
3.4261,1.5582,-0.3391,-0.0801,0.6245
-0.5361,-1.5599,-1.4534,-1.4149,0.1667
2.3711,0.4051,-0.0572,-0.7072,-1.9222
1.946,0.4573,0.045,-0.5637,-0.0321
0.757,-0.4296,-0.1008,-0.4473,-0.1518
2.5769,1.8465,0.4489,0.4148,0.0052
-1.1676,-2.5543,-0.0895,-2.2775,-0.4962
-0.4128,-1.5865,-0.5311,-1.4815,-0.0912
-0.0938,-1.2024,0.4746,-1.35,0.9359
2.5953,-1.0432,2.0554,-2.6952,-0.4983
-3.6029,-3.5726,-0.2576,-0.829,-0.1986
2.3634,0.2979,-0.4717,-0.7824,0.4893
4.3243,3.3287,-0.2042,2.3966,-0.3101
1.6143,0.8375,0.758,0.5224,-0.3091
1.4175,0.8174,1.6074,0.0107,-0.1226
1.7566,1.66,-0.1197,0.547,0.4353
-0.1763,-0.5212,0.4957,-0.8647,1.0513
0.5794,-0.604,-1.3246,-0.8921,0.565
0.1533,-0.4392,-1.242,0.9046,-0.5863
0.7902,0.1314,-2.1143,0.7521,0.0697
0.2928,-0.7698,-1.4739,-0.1966,-0.8132
0.7224,0.1584,-0.0432,0.8765,-0.7848
2.7007,0.8347,0.0124,-0.5989,-0.0358
1.1827,-0.0876,-0.4691,-0.3907,0.1855
-1.0005,-2.0501,-2.1677,-1.1888,-1.0908
0.8925,0.0901,-1.5566,-0.0533,-0.7591
3.1907,1.6702,1.5919,-0.3325,1.8495
1.831,-0.6914,-0.0593,0.8222,-1.5773
3.4523,1.2276,-1.2424,-1.5355,0.2661
1.7816,2.2989,-0.572,1.8079,0.5551
0.7524,0.4432,-0.8925,-0.3581,0.9357
1.5302,0.922,-0.8715,0.0639,1.1888
-0.1543,-1.3688,-0.8193,-0.5394,0.0991
3.0511,0.5531,-1.5281,-1.8387,-0.3076
-2.7742,-1.8835,-1.3697,-0.3924,1.3722
1.3872,-0.0424,-1.221,-1.6317,0.2322
0.331,-0.6121,1.2287,-0.8938,1.2447
0.5939,-0.5387,1.1207,0.4503,-0.2766
1.7664,1.7652,0.0237,2.9243,1.3737
0.3401,-0.3872,-1.2201,-2.0631,1.2026
0.5157,-1.0546,1.4047,-0.4017,-2.1561
1.6434,-0.2155,0.4767,0.0985,0.624
1.6007,1.1275,2.2266,1.3792,0.6539
3.8483,1.4973,1.4813,-0.1842,1.0915
2.4911,0.8319,-1.1297,-0.3909,0.2218
-0.1899,-0.3644,-0.2046,0.2473,0.3995
0.3839,-0.3016,-0.1861,1.4243,-1.4724
-1.1766,-0.9759,-0.7436,0.7838,0.5878
2.1853,1.0965,1.4569,1.3435,-0.0703
-2.01,-1.9118,0.1231,0.745,-0.7583
-1.2453,-1.5883,1.015,-0.8121,0.5476
0.0803,-0.945,-0.1968,-0.226,0.3499
-1.0961,-1.6442,-0.6569,-0.8668,-0.2044
-0.8764,-0.9718,-0.1031,1.3746,-0.4853
0.0432,0.93,-2.0734,0.8071,3.1027
0.3395,0.3946,-0.5524,0.4463,0.6128
0.5738,0.1795,-0.9265,0.2998,0.7186
-0.3255,-0.3891,-0.233,1.2696,-0.4177
1.8676,0.6227,0.2093,1.2395,-1.0344
1.3861,0.3894,-0.7095,0.9177,-1.0146
0.5144,-1.1605,1.7055,-1.0022,-1.065
-0.077,0.294,-0.3205,0.7321,0.2907
1.7916,1.5241,0.5453,1.4336,1.9504
6.2923,3.7854,-1.1725,-0.428,1.6465
1.8666,2.0884,-1.1522,1.5038,0.3961
1.8743,0.886,1.9161,1.6136,0.0342
0.819,-0.3701,0.3678,-0.9047,1.3278
-2.0412,-1.582,0.8977,0.3008,0.3979
-0.8614,-0.7053,-0.3063,0.2375,0.7684
2.009,0.9565,0.2643,0.3602,0.8913
0.7763,-0.9036,-0.1879,-1.288,-1.4914
0.1648,-0.6613,1.7507,-0.3282,1.1577
-1.9989,-1.9068,-0.2646,0.1377,-1.4141
